Category,Product,Total_Quantity,Total_Revenue,Avg_Rate,Days_Sold,Rev_Per_Unit,Revenue_Share,Quantity_Share,Quadrant,Period,Recommendation,Qty_Threshold,Rev_Threshold,Season
Curd,Set Curd 1 Kg - Toned Milk,8283.0,727104.25,95.88265895953758,346,87.78,0.1,0.03,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Sambaram,Butter Milk 175 Ml - Sambharam,143233.0,531077.3,3.722183908045977,87,3.71,0.08,0.56,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Probiotic Set Curd 1000 G,4245.0,411101.15,97.54385474860334,179,96.84,0.06,0.02,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Cheese,Cheese Spread Plain 200gm,2810.0,226896.17,83.14575609756098,615,80.75,0.03,0.01,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Yogurt,Flavoured Yoghurt 80gm,10353.0,180040.02,17.392212389380532,339,17.39,0.03,0.04,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Sambaram,Butter Milk 200 Ml - Nellikka,13620.0,92214.64,6.8588,25,6.77,0.01,0.05,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Milma Katti Moru 1 Ltr,2092.0,85672.29,42.74666666666667,9,40.95,0.01,0.01,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Katta Thairu 400g,1464.0,50622.0,34.512735849056604,106,34.58,0.01,0.01,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Kattimoru 250 Ml Sachet,33007.0,28674.2,5.156666666666667,45,0.87,0.0,0.13,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Cheese,Cheese Spread Chilly Garlic 200gm,264.0,18594.87,70.19015625,64,70.44,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Cheese,Cheese Spread Pepper 200gm,224.0,15960.87,71.82730158730159,63,71.25,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Yogurt,Sugar Free Yoghurt 100g - Mango,561.0,14117.33,25.4690625,32,25.16,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Yogurt,Greek Yoghurt 100g - Trcmpu,478.0,11802.99,24.704,5,24.69,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Yogurt,Greek Yoghurt 100g,357.0,8915.04,26.118000000000002,10,24.97,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Yogurt,Sugar Free Yoghurt 100g - Pineapple,344.0,8679.3,25.315,20,25.23,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Probiotic Set Curd 400 G,128.0,4206.08,32.86,5,32.86,0.0,0.0,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Sambaram,Butter Milk 200 Ml,1123014.0,7888145.69,7.0901164483260555,687,7.02,1.13,4.41,Push Item,Non-Summer,Bundle with premium products. Increase pack size options. Upsell opportunity.,848347.47,23255072.7,Non-Summer
Curd,Skimmed Milk Curd 525g,13927870.0,425861804.47,30.127216386554622,952,30.58,61.04,54.73,Star,Non-Summer,Maintain shelf priority. Scale production in Q2. Feature in promotions.,848347.47,23255072.7,Non-Summer
Curd,Skimmed Milk Curd 500gm,7972517.0,197906444.57,24.762679611650487,515,24.82,28.37,31.33,Star,Non-Summer,Maintain shelf priority. Scale production in Q2. Feature in promotions.,848347.47,23255072.7,Non-Summer
